1,100,0.008487,1
2,100,0.004905,1
4,100,0.003077,1
8,100,0.002888,1
1,200,0.030809,1
2,200,0.015895,1
4,200,0.008546,1
8,200,0.005892,1
1,500,0.054258,1
2,500,0.027710,1
4,500,0.014546,1
8,500,0.015276,1
1,750,0.054312,1
2,750,0.027813,1
4,750,0.014604,1
8,750,0.024499,1
1,1000,0.054307,1
2,1000,0.027843,1
4,1000,0.014585,1
8,1000,0.008486,1
1,1500,0.054165,1
2,1500,0.027803,1
4,1500,0.014567,1
8,1500,0.024192,1
1,2000,0.054140,1
2,2000,0.027743,1
4,2000,0.014570,1
8,2000,0.012710,1
1,4000,0.054140,1
2,4000,0.027750,1
4,4000,0.014568,1
8,4000,0.023032,1
