1,100,0.000023,3.160000
2,100,0.000106,3.120000
4,100,0.000144,2.880000
8,100,0.004451,2.120000
1,1000,0.000037,3.232000
2,1000,0.000121,2.004000
4,1000,0.000184,0.972000
8,1000,0.000308,1.072000
1,10000,0.000214,3.171200
2,10000,0.000341,1.950400
4,10000,0.000530,1.065200
8,10000,0.000732,0.655200
1,100000,0.001876,3.146560
2,100000,0.002881,1.881640
4,100000,0.003627,0.694400
8,100000,0.005097,0.574000
1,1000000,0.018348,3.143124
2,1000000,0.024529,1.693480
4,1000000,0.033915,1.171272
8,1000000,0.047776,0.636724
1,10000000,0.182423,3.142214
2,10000000,0.244154,1.692168
4,10000000,0.342854,1.130964
8,10000000,0.456635,0.807783
1,100000000,1.823902,3.141699
2,100000000,2.439093,1.691645
4,100000000,3.488666,0.665123
8,100000000,4.562710,0.829826
