1,100,0.000024,3.160000
2,100,0.000096,3.200000
4,100,0.000151,3.320000
8,100,0.004472,2.960000
1,1000,0.000037,3.232000
2,1000,0.000098,3.240000
4,1000,0.000150,3.208000
8,1000,0.005967,3.188000
1,10000,0.000197,3.171200
2,10000,0.000193,3.172800
4,10000,0.000204,3.152800
8,10000,0.000296,3.151200
1,100000,0.001801,3.146560
2,100000,0.001028,3.149640
4,100000,0.000621,3.143120
8,100000,0.000492,3.138520
1,1000000,0.017686,3.143124
2,1000000,0.009263,3.141500
4,1000000,0.004734,3.142012
8,1000000,0.007777,3.138928
1,10000000,0.176680,3.142214
2,10000000,0.090921,3.141113
4,10000000,0.045581,3.141858
8,10000000,0.038736,3.141925
1,100000000,1.782248,3.141699
2,100000000,0.908278,3.141763
4,100000000,0.453871,3.141768
8,100000000,0.239396,3.141723
