1,100,0.000023,3.160000
2,100,0.000107,3.200000
4,100,0.000149,3.320000
8,100,0.000266,2.960000
1,1000,0.000033,3.232000
2,1000,0.000091,3.240000
4,1000,0.000148,3.208000
8,1000,0.000262,3.188000
1,10000,0.000197,3.171200
2,10000,0.000193,3.172800
4,10000,0.000194,3.152800
8,10000,0.000274,3.151200
1,100000,0.001859,3.146560
2,100000,0.001053,3.149640
4,100000,0.000609,3.143120
8,100000,0.000493,3.138520
1,1000000,0.018352,3.143124
2,1000000,0.009251,3.141500
4,1000000,0.004732,3.142012
8,1000000,0.007618,3.138928
1,10000000,0.181787,3.142214
2,10000000,0.091128,3.141113
4,10000000,0.045652,3.141858
8,10000000,0.025537,3.141925
1,100000000,1.809798,3.141699
2,100000000,0.909603,3.141763
4,100000000,0.454880,3.141768
8,100000000,0.228012,3.141723
