1,100,0.000023,3.160000
2,100,0.000104,3.200000
4,100,0.000150,2.280000
8,100,0.000255,0.720000
1,1000,0.000033,3.232000
2,1000,0.000106,1.572000
4,1000,0.000194,1.192000
8,1000,0.004508,2.076000
1,10000,0.000218,3.171200
2,10000,0.000360,1.776000
4,10000,0.000520,1.002400
8,10000,0.000702,0.901200
1,100000,0.001846,3.146560
2,100000,0.002911,1.864320
4,100000,0.003546,1.149120
8,100000,0.008621,0.973240
1,1000000,0.018324,3.143124
2,1000000,0.029767,1.578044
4,1000000,0.034077,1.092136
8,1000000,0.048005,0.799424
1,10000000,0.182512,3.142214
2,10000000,0.244356,1.690602
4,10000000,0.340877,1.078448
8,10000000,0.464188,0.653590
1,100000000,1.823205,3.141699
2,100000000,2.438375,1.694552
4,100000000,3.458522,0.692994
8,100000000,4.596392,0.629904
